,DealerNbr,DealerName,Clean Name,Report,Address1,City
459,1795348,farmers union oil,greatlakesbestonetireservice,Performance,,
460,1795350,great lakes best-one tire & service llc,clemonstire,Performance,,
461,1795363,clemons tire,honeystirecenter,Performance,,
462,1795367,honey's tire center,honeystirecenter,Performance,,
463,1795367,honey's tire center,andystireauto,Performance,,
464,1795370,andy's tire & auto llc,goodyearautocare,Performance,,
465,1795371,"goodyear auto care, inc.",knightsbodyshop,Performance,,
466,1795372,knight's body shop,hodgesbodyshop,Performance,,
467,1795376,hodges body shop,hodgesbodyshop,Performance,,
468,1795376,hodges body shop,pacetire,Performance,,
469,1795377,pace tire,mytireguys,Performance,,
470,1795378,"my tire guys, inc",thetireshop,Performance,,
471,1795379,the tire shop,campbellssupplyco,Performance,,
472,1795387,campbells supply co inc.,campbellssupplyco,Performance,,
473,1795387,campbells supply co inc.,phoenixavetire,Performance,,
474,1795388,phoenix ave tire,pmwreckersvcandautocenter,Performance,,
475,1795390,p&m wrecker svc and auto center,bestonetireautoofgrant,Performance,,
476,1795559,best one tire & auto of grant co.,losamigostireservice,Performance,,
477,1795562,los amigos tire service,mattinglysautomotive,Performance,,
478,1795569,mattingly's automotive,mattinglysautomotive,Performance,,
479,1795569,mattingly's automotive,mattinglysautomotive,Performance,,
480,1795569,mattingly's automotive,deltaretailwholesale,Performance,,
481,1795573,delta retail wholesale,deltaretailwholesale,Performance,,
482,1795573,delta retail wholesale,specksales,Performance,,
483,1795577,speck sales inc.,kapraltireandauto,Performance,,
484,1795581,kapral tire and auto llc,kapraltireandauto,Performance,,
485,1795581,kapral tire and auto llc,shaffertire,Performance,,
