,Dealer Number,Dealer Name,Store Address Line 1,Store City,Clean Name,Key
158,1793868,ARCH STREET WHEEL & TIRE,11602 ARCH STREET,LITTLE ROCK,archstreetwheeltire,archstre11602arclittlero
159,1800118,ARKANSAS TIRE & AUTO,2304 E MAIN,RUSSELLVILLE,arkansastireauto,arkansas2304emairussellv
160,1798654,ARKANSAS TIRE CO.,126 GOLF LINKS RD.,HOT SPRINGS,arkansastire,arkansas126golflhotsprin
161,1799569,Arlington Car Care,1897 NORTHWEST BLVD.,COLUMBUS,arlingtoncarcare,arlingto1897nortcolumbus
162,1801165,Armstrong Tire,4315 BOURBON RD,MUSCOTAH,armstrongtire,armstron4315bourmuscotah
163,1797038,ARNESON TIRE,100 GLETTY RD.,SANDWICH,arnesontire,arnesont100glettsandwich
164,1795784,ARNOLD TIRE AND AUTO CARE,372 W STOCKTON ST,SONORA,arnoldtireandautocare,arnoldti372wstocsonora
165,1800782,ARROW AUTOMOTIVE SERVICE,8047 SALTSBURG RD,PITTSBURGH,arrowautomotiveservice,arrowaut8047saltpittsbur
166,1799657,ARROWHEAD AUTOMOTIVE CENTER,70500 EAST 128 RD. STE 1,WYANDOTTE,arrowheadautomotivecenter,arrowhea70500easwyandott
167,1797833,Art's Muffler & Tire,212 E. FAYETTE,CELINA,artsmufflertire,artsmuff212efayecelina
168,1799736,ASAP AUTO CARE,112 16th st,wheeling,asapautocare,asapauto11216thswheeling
169,1798782,ASH FLAT CONOCO,692 Ash Flat Dr,ASH FLAT,ashflatconoco,ashflatc692ashflashflat
170,1793816,"ASHVILLE AUTO & FORKLIFT, LLC",36215 US HWY 231,ASHVILLE,ashvilleautoforklift,ashville36215ushashville
171,1796299,ASPY TIRE,14808 MINNICH ROAD,HOAGLAND,aspytire,aspytire14808minhoagland
172,1800520,ASSELYN'S GARAGE,1295 HALLOWELL RD,DURHAM,asselynsgarage,asselyns1295halldurham
173,1796103,AUDIO IMAGES,3300 DIXIE HIGHWAY NE,PALM BAY,audioimages,audioima3300dixipalmbay
174,1799531,AUGUSTA AUTO PARTS & SERVICE,15901 NORTHWESTERN PIKE,AUGUSTA,augustaautopartsservice,augustaa15901noraugusta
175,1794577,AUGUSTA COOP,P O BOX 131,FAIRFEILD,augustacoop,augustacpobox131fairfeil
176,1799802,AUGUSTA TIRE & AUTO,250 INDUSTRIAL DRIVE,AUGUSTA,augustatireauto,augustat250indusaugusta
