,Name,Clean Name,Report,Address,City,Key,Count of Courses
71,Super Tire and Muffler,supertireandmuffler,Course,,,,0
72,Cooper Tire,coopertire,Course,557 Birch Mountain Rd,Manchester,cooperti557birchmanchest,5
73,U.S. AutoForce,usautoforce,Course,815 West 10th,pella,usautofo815west1pella,40
74,timbes tire,timbestire,Course,308 hwy 72,burnsville,timbesti308hwy72burnsvil,2
75,Seaview Tire & Brake Center,seaviewtirebrakecenter,Course,66 West Manor Dr,Pacifica,seaviewt66westmapacifica,1
76,Fender's Sales and Service,fenderssalesandservice,Course,,,,0
77,Raceway Tire & Exhaust,racewaytireexhaust,Course,209 S Lincoln,Knoxville,racewayt209slincknoxvill,27
78,Richards Tire Inc,richardstire,Course,1813 US 31 North,Petoskey,richards1813us31petoskey,76
79,Richard's tire,richardstire,Course,1813 US 31 North,Petoskey,richards1813us31petoskey,66
80,Leslie Tire Service,leslietireservice,Course,41600 Executive Drive,Harrison Township,leslieti41600exeharrison,6
81,cooper tire and rubber co.,coopertireandrubber,Course,701 lima ave,findlay,cooperti701limaafindlay,16
82,west 10 tire center inc,west10tirecenter,Course,108 route 10,succasunna,west10ti108routesuccasun,31
83,American Tire,americantire,Course,281 US 22,Green Brook Township,american281us22greenbro,5
84,American Tire,americantire,Course,281 US 22,Green Brook Township,american281us22greenbro,47
85,American Tire,americantire,Course,281 US 22,Green Brook Township,american281us22greenbro,10
86,Warren Tire,warrentire,Course,227 Mac Donald,Warren,warrenti227macdowarren,79
87,American Tire,americantire,Course,76 Church St,Flemington,american76churchflemingt,14
88,American Tire,americantire,Course,165 Route 206,Chester,american165routechester,78
89,American Tire,americantire,Course,165 Route 206,Chester,american165routechester,75
90,Tire Rama,tirerama,Course,2550 Gabel Rd.,BILLINGS,tirerama2550gabebillings,76
91,American Tire,americantire,Course,3275 Quakerbridge Rd,Mercerville,american3275quakmercervi,13
92,American Tire,americantire,Course,2302 Route 516,Old Bridge,american2302routoldbridg,63
93,Hub Tire Center,hubtirecenter,Course,819 N. US 27,Saint Johns,hubtirec819nus27saintjoh,2
94,Al's Tire And Auto Repair,alstireandautorepair,Course,918 southampton rd,westfield,alstirea918southwestfiel,30
95,The Tire Shop Inc,thetireshop,Course,1102 Main St,Portage,thetires1102mainportage,79
96,U.S. AutoForce,usautoforce,Course,425 Better Way,Appleton,usautofo425betteappleton,7
97,Hornsby Tire,hornsbytire,Course,3300 JEFFERSON AVENUE,NEWPORT NEWS,hornsbyt3300jeffnewportn,4
98,Premier Tire Terminal Inc.,premiertireterminal,Course,4650 Steele St,Denver,premiert4650steedenver,49
99,ATD,atd,Course,1415 West Commerce Way,Lincoln,atd1415westlincoln,4
100,Midas,midas,Course,1050 Mutual Way,Appleton,midas1050mutuappleton,8
101,Carroll Tire,carrolltire,Course,2120 Creekside Pkwy.,,,0
102,Cooper Tire & Rubber Company,coopertirerubber,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay,3
103,Stone tire and automotive,stonetireandautomotive,Course,302 e beebe Capps ex,Searcy,stonetir302ebeebsearcy,0
104,K & M Tire,kmtire,Course,3801 Greenway Circle,LAWRENCE,kmtire3801greelawrence,3
105,Randall Tire,randalltire,Course,10149 M St Hwy 16,Sparta,randallt10149mstsparta,2
106,Cooper Tire,coopertire,Course,701 Lima Ave.,Findlay,cooperti701limaafindlay,38
107,Pathway Hyundai,pathwayhyundai,Course,1375 Youville Drive,Orleans,pathwayh1375youvorleans,29
108,Leslie Tire Service,leslietireservice,Course,41600 Executive Drive,Harrison Township,leslieti41600exeharrison,79
109,Dunn Tire,dunntire,Course,475 Cayuga Rd. Suite 500,Buffalo,dunntire475cayugbuffalo,1
110,Dunn Tire,dunntire,Course,475 Cayuga Rd. Suite 500,Buffalo,dunntire475cayugbuffalo,1
111,K & M Tire,kmtire,Course,965 Spencerville Rd.,Delphos,kmtire965spencdelphos,3
112,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,4420 Centennial Blvd.,Colorado Springs,tireworl4420centcolorado,8
113,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,805 Cheyenne Meadows Rd,Colorado Springs,tireworl805cheyecolorado,2
114,RDS AUTO SUPPLIES,rdsautosupplies,Course,1411 STATE ROUTE 147,DALMATIA,rdsautos1411statdalmatia,40
115,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,750 Copper Center Prkwy,Colorado Springs,tireworl750coppecolorado,11
