,Id,Name,Address1,City,Clean Name,Report,Key
228,2006499,"reeder's auto services, inc.",6436 central ave,portage,jaystireautomotive,Performance,reedersa6436centportage
229,2006500,jays tire & automotive,301 s. main st.,elgin,aidtireautorepair,Performance,jaystire301smainelgin
230,2006501,aid tire & auto repair inc,21632 timberlake road,lynchburg,corwintoyota,Performance,aidtirea21632timlynchbur
231,2006502,corwin toyota,222 40th street south,fargo,scottstevenstire,Performance,corwinto22240thsfargo
232,2006503,scott stevens tire company,2576 ross clark circle,dothan,lindseysautopartsservices,Performance,scottste2576rossdothan
233,2006504,lindseys auto parts & services,20 caneyville road,roundhill,wilcoxautomotive,Performance,lindseys20caneyvroundhil
234,2006505,wilcox automotive,4707 cloutier drive,salida,northcountryauto,Performance,wilcoxau4707clousalida
235,2006506,north country auto,209 main ave west,rolla,philipmarksingletary,Performance,northcou209mainarolla
236,2006507,philip mark singletary,401 west main st,hartford,bobsgarage,Performance,philipma401westmhartford
237,2006508,bobs garage,766 paint creek rd,hansford,rhdtire,Performance,bobsgara766painthansford
238,2006509,rhd tire,650 36th street,wyoming,donohuesquicklube,Performance,rhdtire65036thswyoming
239,2006510,donohue's quick lube,2030 eastern ave,gallipolis,heritagetireservice,Performance,donohues2030eastgallipol
240,2006511,heritage tire & service,709 w broad st,chesaning,executivetiresales,Performance,heritage709wbroachesanin
241,2006512,executive tire sales,1610 montgomery st.,oroville,kengarffgroup,Performance,executiv1610montoroville
242,2006513,ken garff group,597 e 1000 south,american fork,powersautomotiveservices,Performance,kengarff597e1000american
243,2006514,powers automotive services inc,14810 grover st,omaha,clintontireexhaust,Performance,powersau14810groomaha
244,2006515,clinton tire & exhaust,231 n. 3rd st.,clinton,logansallpro,Performance,clintont231n3rdsclinton
245,2006516,logans all pro,171 north union avenue,ozark,kdtire,Performance,logansal171northozark
246,2006517,kd tire,8854 w. emerald st. ste 260,boise,cejaqualitytire,Performance,kdtire8854wemeboise
247,2006518,ceja quality tire,51 healdsburg ave,healdsburg,customwheelsoutlet,Performance,cejaqual51healdshealdsbu
248,2006519,custom wheels outlet inc.,32712 182nd ave,avon,northbrevardtires,Performance,customwh32712182avon
249,2006520,"north brevard tires, inc",1004 s. washington ave,titusville,tireshak,Performance,northbre1004swastitusvil
250,2006521,tire shak inc,12 great hill rd.,ansonia,americasqualityautocare,Performance,tireshak12greathansonia
251,2006522,"america's quality auto care, inc.",22455 farmington rd,farmington,24hourautorepair,Performance,americas22455farfarmingt
252,2006523,24 hour auto repair,3100 n 20th st,lincoln,kellehertireservice,Performance,24hourau3100n20tlincoln
253,2006524,kelleher tire service inc.,430 w market street,scranton,mikesalignmenttireservice,Performance,kelleher430wmarkscranton
254,2006525,"mike's alignment & tire service, inc.",9398 hwy 227,crossville,brexincdbacarxautoservice,Performance,mikesali9398hwy2crossvil
255,2006526,"brex, inc dba car x auto service",9507 page ave,st louis,bncsmogtiresbrakes,Performance,brexincd9507pagestlouis
256,2006527,bnc smog tires brakes,164 calistoga rd,santa rosa,parkautomotive,Performance,bncsmogt164calissantaros
257,2006528,park automotive,159 ushers rd,round lake,clintonautoservice,Performance,parkauto159usherroundlak
258,2006529,clinton auto service,3723 st rt 12b,clinton,causewayhonda,Performance,clintona3723strtclinton
259,2006530,causeway honda,457 rt 72 west,manahawkin,tirecountryofriverhead,Performance,causeway457rt72wmanahawk
260,2006531,tire country of riverhead,1070 old country rd.,riverhead,tireoutletautoservice,Performance,tirecoun1070oldcriverhea
261,2006532,tire outlet auto service,901 south second st.,san jose,avalonautomotive,Performance,tireoutl901southsanjose
262,2006533,avalon automotive,16725 west park circle,chagrin falls,northmissouritire,Performance,avalonau16725weschagrinf
