,Business Name,Address,City,State,Membership/Store Number,Tire Brands Carried,Sales Group,Cooper Region,Date Registered,User Status,Points Earned,Courses Complete,Generated Key,Edit Distance,IsMatch,Activity Score,Heirarchy
1790,Allen Tire Co,20345 Hawthorne Blvd.,Torrance,California,,Cooper,Western Territory 02,Western,04/30/2015,Enabled,4.0,1,allentir20345hawtorrance,0,Dupe,Low,G
909,Allen Tire Co,20345 Hawthorne Blvd.,Torrance,California,,Cooper,Western Territory 02,Western,02/10/2015,Enabled,25.0,4,allentir20345hawtorrance,12,NotDupe,Low,G
1584,Allen Tire Co,20761 LAKE FOREST DR UNIT K,LAKE FOREST,California,220466,Cooper,Western Territory 02,Western,04/14/2015,Enabled,24.0,3,allentir20761laklakefore,14,NotDupe,Low,Unique
1592,Allen Tire Co,2115 possum court,riverside,California,,Cooper,Western Territory 02,Western,04/15/2015,Enabled,364.0,34,allentir2115possriversid,13,NotDupe,High,Unique
1558,Allen Tire Co,23854 Via Fabricante E2,Mission Viejo,California,,Cooper,Western Territory 02,Western,04/13/2015,Enabled,259.0,25,allentir23854viamissionv,0,Dupe,High,G
3281,Allen Tire Co,23854 Via Fabricante E2,Mission Viejo,California,,Cooper,Western Territory 02,Western,01/19/2016,Enabled,472.0,38,allentir23854viamissionv,0,Dupe,High,G
1610,Allen Tire Co,23854 Via Fabricante E2,Mission Viejo,California,,Cooper,Western Territory 02,Western,04/16/2015,Enabled,259.0,25,allentir23854viamissionv,14,NotDupe,High,G
1562,Allen Tire Co,2401 N TUSTIN AVE,santa ana,California,,Cooper,Western Territory 02,Western,04/13/2015,Enabled,24.0,4,allentir2401ntussantaana,0,Dupe,Low,G
1618,Allen Tire Co,2401 N TUSTIN AVE,SANTA ANA,California,,Cooper,Western Territory 02,Western,04/17/2015,Enabled,24.0,6,allentir2401ntussantaana,15,NotDupe,Medium,G
759,Allen Tire Co,2978 Yorba Linda Blvd.,fullerton,California,220451,Cooper,Western Territory 02,Western,02/04/2015,Enabled,417.0,19,allentir2978yorbfullerto,0,Dupe,High,G
1588,Allen Tire Co,2978 Yorba Linda Blvd.,FULLERTON,California,714-524-6070,Cooper,Western Territory 02,Western,04/14/2015,Enabled,25.0,5,allentir2978yorbfullerto,0,Dupe,Low,G
4146,allen tire company,2978 yorba linda blvd.,fullerton,California,6,Cooper,Western Territory 02,Western,07/19/2016,Enabled,105.0,7,allentir2978yorbfullerto,14,NotDupe,Medium,G
894,Allen Tire Co,5855 E. Carson Street,Lakewood,California,,Cooper,Western Territory 02,Western,02/10/2015,Enabled,939.0,59,allentir5855ecarlakewood,0,Dupe,High,G
1009,Allen Tire Co,5855 E. Carson Street,Lakewood,California,,Cooper,Western Territory 02,Western,02/18/2015,Enabled,259.0,25,allentir5855ecarlakewood,0,Dupe,High,G
766,Allen Tire Co,5855 E. Carson Street,LAKEWOOD,California,,Cooper,Western Territory 02,Western,02/04/2015,Enabled,381.0,30,allentir5855ecarlakewood,0,Dupe,High,G
1044,Allen Tire Co,5855 E. Carson Street,lakewood,California,,Cooper,Western Territory 02,Western,02/19/2015,Enabled,259.0,25,allentir5855ecarlakewood,14,NotDupe,High,G
1565,Allen Tire Co,675 S. PALM CANYON DR,Palm Springs,California,,Cooper,Western Territory 02,Western,04/13/2015,Enabled,5.0,2,allentir675spalmpalmspri,15,NotDupe,Low,Unique
1050,Allen Tire Co,7142 garden grove blvd,westminster,California,,Cooper,Western Territory 02,Western,02/19/2015,Enabled,25.0,5,allentir7142gardwestmins,13,NotDupe,Low,Unique
1542,Allen Tire Co,950 n harbor blvd,anaheim,California,,Cooper,Western Territory 02,Western,04/09/2015,Enabled,45.0,7,allentir950nharbanaheim,16,NotDupe,Medium,Unique
3588,Allied Tire & Auto,4749 US Hwy 50,Carson City,Nevada,858001,Cooper,Western Territory 07,Western,03/08/2016,Enabled,2.0,1,alliedti4749ushwcarsonci,18,NotDupe,Low,Unique
3154,ALL MAKES AND MODELS AUTO REPAIR,7993 HILLS AND DALES RD,MASSILLON,Ohio,100328,Cooper,Eastern Territory 06,Eastern,12/29/2015,Enabled,4.0,2,allmakes7993hillmassillo,19,NotDupe,Low,Unique
233,All Season Equipment,,,,,,,,,,,0,allseasonannan,17,NotDupe,No Activity,Unique
5607,Al's Tire,3912 St Stans Avenue,Northern Cambria,Pennsylvania,1805962,Cooper,Eastern Territory 06,Eastern,08/17/2017,Enabled,911.0,53,alstire3912ststnorthern,4,NotDupe,High,Unique
1830,Al's Tire And Auto,3912 Saint Stans Ave,Northern Cambria,Pennsylvania,366016,Cooper,Eastern Territory 06,Eastern,05/07/2015,Enabled,125.0,8,alstirea3912sainnorthern,13,NotDupe,Medium,Unique
94,Al's Tire And Auto Repair,918 southampton rd,westfield,Massachusetts,599108,Cooper,Eastern Territory 04,Eastern,07/02/2014,Enabled,391.0,32,alstirea918southwestfiel,0,Dupe,High,G
3400,Al's Tire And Auto Repair,918 southampton rd,westfield,Massachusetts,599108,Cooper,Eastern Territory 04,Eastern,02/02/2016,Enabled,914.0,65,alstirea918southwestfiel,15,NotDupe,High,G
3775,Al's Tire Shop Inc,3902 Hohman Ave,Hammond,Indiana,789730,Cooper,Mid West Territory 05,Midwest,04/08/2016,Enabled,782.0,58,alstires3902hohmhammond,20,NotDupe,High,Unique
2228,ALVAREZ TIRE & AUTO REPAIR,14410 WASHINGTON ST,WOODSTOCK,Illinois,189909,Both,Mid West Territory 05,Midwest,08/04/2015,Enabled,555.0,70,alvarezt14410waswoodstoc,21,NotDupe,High,Unique
4431,Ameerican Tire Distributor,190 Cochrane rd,Lincolnton,North Carolina,,Both,South Atlantic Territory 03,South Atlantic,10/17/2016,Enabled,5.0,2,ameerica190cochrlincolnt,15,NotDupe,Low,Unique
4136,American Tire Distributors,1009 East Amidon Street,Sioux Falls,South Dakota,,Cooper,Mid West Territory 08,Midwest,07/18/2016,Enabled,5.0,3,american1009eastsiouxfal,13,NotDupe,Low,Unique
3935,American Tire Distributors,10231 Harry J Parrish Blvd,Manassas,Virginia,,Both,South Atlantic Territory 04,South Atlantic,05/17/2016,Enabled,989.0,76,american10231harmanassas,14,NotDupe,High,Unique
3215,American Tire Distributors,11503 Pocomoke Ct,Middle River,Maryland,,Both,South Atlantic Territory 04,South Atlantic,01/11/2016,Enabled,1299.0,85,american11503pocmiddleri,0,Dupe,High,G
